T 27.50 C  RH 38.84 %  Light 2.5 lux  P 948.65 hPa  VOC 95  NOx 1  (raw 31033/15510)
T 27.50 C  RH 38.82 %  Light 2.5 lux  P 948.64 hPa  VOC 95  NOx 1  (raw 31034/15510)
T 27.49 C  RH 38.86 %  Light 2.5 lux  P 948.63 hPa  VOC 95  NOx 1  (raw 31047/15509)
T 27.48 C  RH 38.83 %  Light 2.5 lux  P 948.63 hPa  VOC 95  NOx 1  (raw 31032/15504)
T 27.49 C  RH 38.84 %  Light 2.5 lux  P 948.64 hPa  VOC 95  NOx 1  (raw 31037/15507)
T 27.47 C  RH 38.86 %  Light 2.5 lux  P 948.63 hPa  VOC 95  NOx 1  (raw 31027/15511)
T 27.48 C  RH 38.91 %  Light 2.5 lux  P 948.64 hPa  VOC 95  NOx 1  (raw 31023/15520)
T 27.45 C  RH 38.93 %  Light 2.5 lux  P 948.64 hPa  VOC 95  NOx 1  (raw 31036/15514)
T 27.48 C  RH 38.91 %  Light 2.5 lux  P 948.64 hPa  VOC 95  NOx 1  (raw 31024/15510)
T 27.46 C  RH 38.92 %  Light 2.5 lux  P 948.65 hPa  VOC 95  NOx 1  (raw 31031/15513)
T 27.45 C  RH 38.91 %  Light 2.5 lux  P 948.65 hPa  VOC 95  NOx 1  (raw 31022/15509)
T 27.45 C  RH 38.94 %  Light 2.5 lux  P 948.65 hPa  VOC 95  NOx 1  (raw 31021/15509)
T 27.44 C  RH 39.00 %  Light 2.5 lux  P 948.64 hPa  VOC 95  NOx 1  (raw 31040/15515)
T 27.45 C  RH 38.95 %  Light 2.5 lux  P 948.64 hPa  VOC 95  NOx 1  (raw 31034/15518)
T 27.45 C  RH 39.00 %  Light 2.5 lux  P 948.63 hPa  VOC 95  NOx 1  (raw 31035/15522)
T 27.44 C  RH 38.99 %  Light 2.5 lux  P 948.63 hPa  VOC 95  NOx 1  (raw 31033/15505)
T 27.42 C  RH 38.95 %  Light 2.5 lux  P 948.64 hPa  VOC 95  NOx 1  (raw 31044/15511)
T 27.44 C  RH 39.01 %  Light 2.5 lux  P 948.64 hPa  VOC 95  NOx 1  (raw 31030/15519)
T 27.42 C  RH 38.97 %  Light 2.5 lux  P 948.64 hPa  VOC 95  NOx 1  (raw 31036/15514)
T 27.42 C  RH 39.01 %  Light 2.5 lux  P 948.63 hPa  VOC 94  NOx 1  (raw 31041/15513)
T 27.44 C  RH 39.01 %  Light 2.5 lux  P 948.63 hPa  VOC 94  NOx 1  (raw 31051/15516)
T 27.42 C  RH 39.06 %  Light 2.5 lux  P 948.63 hPa  VOC 94  NOx 1  (raw 31063/15520)
T 27.41 C  RH 39.04 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31041/15514)
T 27.41 C  RH 39.05 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31046/15519)
T 27.40 C  RH 39.04 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31059/15514)
T 27.40 C  RH 39.06 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31037/15518)
T 27.41 C  RH 39.04 %  Light 2.5 lux  P 948.65 hPa  VOC 94  NOx 1  (raw 31050/15513)
T 27.39 C  RH 39.07 %  Light 2.5 lux  P 948.66 hPa  VOC 94  NOx 1  (raw 31040/15517)
T 27.40 C  RH 39.07 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31039/15514)
T 27.41 C  RH 39.10 %  Light 2.5 lux  P 948.63 hPa  VOC 94  NOx 1  (raw 31042/15526)
T 27.39 C  RH 39.12 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31037/15525)
T 27.38 C  RH 39.11 %  Light 2.5 lux  P 948.63 hPa  VOC 94  NOx 1  (raw 31046/15518)
T 27.39 C  RH 39.13 %  Light 2.5 lux  P 948.63 hPa  VOC 94  NOx 1  (raw 31038/15520)
T 27.39 C  RH 39.13 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31048/15520)
T 27.38 C  RH 39.12 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31047/15519)
T 27.38 C  RH 39.12 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31053/15521)
T 27.37 C  RH 39.11 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31051/15522)
T 27.38 C  RH 39.12 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31053/15519)
T 27.38 C  RH 39.07 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31042/15515)
T 27.39 C  RH 39.07 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31057/15518)
T 27.38 C  RH 39.05 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31047/15518)
T 27.35 C  RH 39.06 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31046/15512)
T 27.37 C  RH 39.11 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31069/15517)
T 27.38 C  RH 39.08 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31062/15524)
T 27.38 C  RH 39.13 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31058/15524)
T 27.38 C  RH 39.10 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31051/15523)
T 27.38 C  RH 39.14 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31072/15527)
T 27.36 C  RH 39.11 %  Light 2.5 lux  P 948.65 hPa  VOC 94  NOx 1  (raw 31062/15521)
T 27.36 C  RH 39.15 %  Light 2.5 lux  P 948.65 hPa  VOC 94  NOx 1  (raw 31066/15528)
T 27.37 C  RH 39.16 %  Light 2.5 lux  P 948.65 hPa  VOC 94  NOx 1  (raw 31069/15525)
T 27.36 C  RH 39.13 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31069/15519)
T 27.36 C  RH 39.16 %  Light 2.5 lux  P 948.65 hPa  VOC 94  NOx 1  (raw 31064/15535)
T 27.38 C  RH 39.18 %  Light 2.5 lux  P 948.65 hPa  VOC 94  NOx 1  (raw 31067/15535)
T 27.34 C  RH 39.18 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31072/15523)
T 27.34 C  RH 39.13 %  Light 2.5 lux  P 948.63 hPa  VOC 94  NOx 1  (raw 31068/15520)
T 27.32 C  RH 39.12 %  Light 2.5 lux  P 948.62 hPa  VOC 94  NOx 1  (raw 31068/15524)
T 27.36 C  RH 39.10 %  Light 2.5 lux  P 948.62 hPa  VOC 94  NOx 1  (raw 31064/15523)
T 27.34 C  RH 39.14 %  Light 2.5 lux  P 948.62 hPa  VOC 94  NOx 1  (raw 31062/15525)
T 27.34 C  RH 39.10 %  Light 2.5 lux  P 948.62 hPa  VOC 94  NOx 1  (raw 31062/15522)
T 27.33 C  RH 39.14 %  Light 2.5 lux  P 948.63 hPa  VOC 94  NOx 1  (raw 31073/15518)
T 27.35 C  RH 39.16 %  Light 2.5 lux  P 948.63 hPa  VOC 94  NOx 1  (raw 31077/15527)
T 27.32 C  RH 39.20 %  Light 2.5 lux  P 948.63 hPa  VOC 94  NOx 1  (raw 31088/15525)
T 27.33 C  RH 39.19 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31083/15523)
T 27.32 C  RH 39.18 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31084/15525)
T 27.33 C  RH 39.15 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31077/15521)
T 27.33 C  RH 39.20 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31087/15525)
T 27.34 C  RH 39.20 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31080/15539)
T 27.32 C  RH 39.22 %  Light 2.5 lux  P 948.64 hPa  VOC 94  NOx 1  (raw 31080/15531)
